# ANNOTATION label vol Imax Iavg Istd lx2 ly2 lz2 Rg asph acyl kappa Lmax Lmin Vrs Vre
1 1.4175500000000000e+05 3.0100000000000000e+02 1.3767513036727905e+00 1.2315291166305542e+00 5.0379071384668350e-02 1.5330530405044556e+00 3.5700757503509521e+00 2.7356357574462891e+01 5.6973228454589844e+00 2.4804794311523438e+01 2.0370225906372070e+00 5.8692026138305664e-01 1.8953624725341797e+01 9.7474956512451172e+00 1.8058940768241882e-01 5.2526253461837769e-01
0 1.4175600000000000e+05 3.0100000000000000e+02 1.2318115234375000e+00 1.1194938421249390e+00 3.3694997429847717e-02 1.9762610197067261e+00 1.6608449935913086e+01 4.1824710845947266e+01 7.7723498344421387e+00 3.2532356262207031e+01 1.4632187843322754e+01 3.3401763439178467e-01 2.1923835754394531e+01 1.4211184501647949e+01 7.1129173040390015e-02 1.7346814274787903e-01
1 1.4175700000000000e+05 3.0100000000000000e+02 2.0824077129364014e+00 1.3827164173126221e+00 1.7880855500698090e-01 1.0215034484863281e+00 4.1805248260498047e+00 2.6857793807983398e+01 5.6621394157409668e+00 2.4256780624389648e+01 3.1590216159820557e+00 5.7974046468734741e-01 2.0566699981689453e+01 8.9024991989135742e+00 1.8397681415081024e-01 6.0013973712921143e-01
0 1.4175800000000000e+05 3.0100000000000000e+02 1.3691095113754272e+00 1.1434925794601440e+00 5.1195573061704636e-02 3.6910161972045898e+00 2.1744989395141602e+01 4.2065742492675781e+01 8.2159452438354492e+00 2.9347740173339844e+01 1.8053974151611328e+01 2.4267588555812836e-01 2.2366395950317383e+01 2.1801778793334961e+01 6.0218818485736847e-02 1.1061295866966248e-01
1 1.4175900000000000e+05 3.0100000000000000e+02 3.0207011699676514e+00 1.8311208486557007e+00 2.5750142335891724e-01 1.8649945259094238e+00 7.7992920875549316e+00 1.4427434921264648e+01 4.9083318710327148e+00 9.5952911376953125e+00 5.9342975616455078e+00 2.0413383841514587e-01 1.9425130844116211e+01 1.5018338203430176e+01 2.8242492675781250e-01 4.4367194175720215e-01
0 1.4176000000000000e+05 3.0100000000000000e+02 8.2002563476562500e+00 1.8760162591934204e+00 7.2791177034378052e-01 5.6971895694732666e-01 7.4979048967361450e-01 1.6507633972167969e+02 1.2899451255798340e+01 1.6441658020019531e+02 1.8007153272628784e-01 9.7635251283645630e-01 5.3095436096191406e+01 4.4225215911865234e+00 1.5559335239231586e-02 7.6538538932800293e-01
0 1.4176100000000000e+05 3.0100000000000000e+02 1.9028391838073730e+00 1.2169698476791382e+00 1.5130545198917389e-01 2.0281217098236084e+00 5.6679434776306152e+00 6.1540302276611328e+01 8.3208389282226562e+00 5.7692268371582031e+01 3.6398217678070068e+00 6.9640398025512695e-01 3.1491741180419922e+01 1.1681030273437500e+01 5.7970009744167328e-02 2.4164804816246033e-01
1 1.4176200000000000e+05 3.0100000000000000e+02 2.5962297916412354e+00 1.3975181579589844e+00 2.4401728808879852e-01 2.4367792606353760e+00 6.7699770927429199e+00 2.7757713317871094e+01 6.0798411369323730e+00 2.3154336929321289e+01 4.3331975936889648e+00 4.0267634391784668e-01 2.0190662384033203e+01 1.2656152725219727e+01 1.4860315620899200e-01 3.0035117268562317e-01
0 1.4176300000000000e+05 3.0200000000000000e+02 1.4033184051513672e+00 1.1450483798980713e+00 5.7972464710474014e-02 9.2224270105361938e-01 1.3208592414855957e+01 1.3410685729980469e+02 1.2175290107727051e+01 1.2704143524169922e+02 1.2286350250244141e+01 7.3962122201919556e-01 3.5136413574218750e+01 1.7051294326782227e+01 1.8565526232123375e-02 1.5954639017581940e-01
1 1.4176400000000000e+05 3.0200000000000000e+02 3.3933870792388916e+00 1.7494789361953735e+00 2.9444473981857300e-01 1.4050810337066650e+00 6.6225929260253906e+00 1.1913786888122559e+01 4.4655861854553223e+00 7.8999500274658203e+00 5.2175116539001465e+00 2.0828256011009216e-01 1.9811359405517578e+01 1.1795957565307617e+01 3.7627878785133362e-01 6.1245429515838623e-01
1 1.4176500000000000e+05 3.0200000000000000e+02 2.6075181961059570e+00 1.4190121889114380e+00 2.3758682608604431e-01 1.8202975988388062e+00 5.5958628654479980e+00 4.3993415832519531e+01 7.1700472831726074e+00 4.0285335540771484e+01 3.7755653858184814e+00 6.1809825897216797e-01 2.9255662918090820e+01 1.1149822235107422e+01 9.0903200209140778e-02 3.0462443828582764e-01
1 1.4176600000000000e+05 3.0200000000000000e+02 1.5644859075546265e+00 1.2817484140396118e+00 8.1784643232822418e-02 6.7222410440444946e-01 2.8625833988189697e+00 3.0516035079956055e+01 5.8353099822998047e+00 2.8748630523681641e+01 2.1903593540191650e+00 7.1592134237289429e-01 2.2615159988403320e+01 8.2425355911254883e+00 1.6863721609115601e-01 8.4151750802993774e-01
0 1.4176700000000000e+05 3.0200000000000000e+02 1.1623868942260742e+01 2.5559175014495850e+00 8.7698173522949219e-01 1.2255752086639404e+00 1.3429744243621826e+00 8.3214202880859375e+01 9.2618980407714844e+00 8.1929924011230469e+01 1.1739923804998398e-01 9.1219115257263184e-01 3.6095596313476562e+01 7.0116505622863770e+00 4.2174044996500015e-02 5.5101162195205688e-01
1 1.4176800000000000e+05 3.0200000000000000e+02 3.3930723667144775e+00 1.5263745784759521e+00 2.9561886191368103e-01 7.1605324745178223e-01 6.7735586166381836e+00 4.6254062652587891e+01 7.3310074806213379e+00 4.2509254455566406e+01 6.0575056076049805e+00 6.3515025377273560e-01 2.8981750488281250e+01 1.1174166679382324e+01 8.5046060383319855e-02 4.3053382635116577e-01
0 1.4176900000000000e+05 3.0200000000000000e+02 1.4102090597152710e+00 1.1667026281356812e+00 7.0364050567150116e-02 3.4552886486053467e+00 8.8750610351562500e+00 5.6287220001220703e+01 8.2835721969604492e+00 5.0122047424316406e+01 5.4197726249694824e+00 5.3824347257614136e-01 2.5292898178100586e+01 1.2110678672790527e+01 5.8951139450073242e-02 1.5521389245986938e-01
1 1.4177000000000000e+05 3.0200000000000000e+02 2.0474460124969482e+00 1.4004554748535156e+00 1.4806254208087921e-01 1.4298648834228516e+00 2.2430994510650635e+00 4.7529502868652344e+01 7.1555900573730469e+00 4.5693023681640625e+01 8.1323462724685669e-01 7.9656481742858887e-01 2.3157018661499023e+01 6.5482668876647949e+00 9.1455295681953430e-02 5.2228784561157227e-01
1 1.4177100000000000e+05 3.0200000000000000e+02 2.7772362232208252e+00 1.7093760967254639e+00 2.2678892314434052e-01 2.2843105792999268e+00 3.8800642490386963e+00 1.2341315269470215e+01 4.3018240928649902e+00 9.2591285705566406e+00 1.5957536697387695e+00 2.5591638684272766e-01 1.3524601936340332e+01 8.9906673431396484e+00 4.2090809345245361e-01 6.1657452583312988e-01
1 1.4177200000000000e+05 3.0300000000000000e+02 1.5393500328063965e+00 1.2178866863250732e+00 8.5584610700607300e-02 1.0729500055313110e+00 3.7704739570617676e+00 5.5281551361083984e+01 7.7540297508239746e+00 5.2859840393066406e+01 2.6975238323211670e+00 7.7444267272949219e-01 2.5762187957763672e+01 1.0447402000427246e+01 7.2110503911972046e-02 4.3263453245162964e-01
1 1.4177300000000000e+05 3.0300000000000000e+02 1.4810268878936768e+00 1.1906837224960327e+00 6.8983770906925201e-02 4.0072765946388245e-01 3.7392897605895996e+00 6.0179603576660156e+01 8.0199518203735352e+00 5.8109592437744141e+01 3.3385622501373291e+00 8.1824350357055664e-01 2.9991456985473633e+01 1.0012920379638672e+01 6.5172694623470306e-02 6.8132627010345459e-01
1 1.4177400000000000e+05 3.0300000000000000e+02 3.8110520839691162e+00 1.4252661466598511e+00 4.0273377299308777e-01 5.7392543554306030e-01 4.1201663017272949e+00 9.0385848999023438e+01 9.7508945465087891e+00 8.8038803100585938e+01 3.5462410449981689e+00 8.5841763019561768e-01 4.3166889190673828e+01 1.0231601715087891e+01 3.6261651664972305e-02 4.4255137443542480e-01
1 1.4177500000000000e+05 3.0300000000000000e+02 5.5159959793090820e+00 1.9877448081970215e+00 5.1409614086151123e-01 1.3290932178497314e+00 3.3513841629028320e+00 4.1833721160888672e+01 6.8201317787170410e+00 3.9493480682373047e+01 2.0222909450531006e+00 7.2232556343078613e-01 2.6000675201416016e+01 1.0976636886596680e+01 1.0597479343414307e-01 4.7396463155746460e-01
1 1.4177600000000000e+05 3.0300000000000000e+02 3.5394434928894043e+00 1.5030345916748047e+00 3.7078645825386047e-01 2.2809927463531494e+00 1.1048419952392578e+01 2.3040332794189453e+01 6.0307335853576660e+00 1.6375627517700195e+01 8.7674274444580078e+00 2.4631254374980927e-01 2.3830583572387695e+01 1.5324306488037109e+01 1.5327470004558563e-01 2.6849895715713501e-01
1 1.4177700000000000e+05 3.0300000000000000e+02 4.2028369903564453e+00 1.5559852123260498e+00 4.1287657618522644e-01 1.0681260824203491e+00 7.6606640815734863e+00 3.9722343444824219e+01 6.9606847763061523e+00 3.5357948303222656e+01 6.5925378799438477e+00 5.4644256830215454e-01 2.6637968063354492e+01 1.2762516021728516e+01 9.9683895707130432e-02 3.5886996984481812e-01
1 1.4177800000000000e+05 3.0300000000000000e+02 3.4863438606262207e+00 1.5643274784088135e+00 3.5979846119880676e-01 6.8998551368713379e-01 3.2599174976348877e+00 4.6606884002685547e+01 7.1103296279907227e+00 4.4631931304931641e+01 2.5699319839477539e+00 7.8128778934478760e-01 3.2051803588867188e+01 8.1255826950073242e+00 9.3521550297737122e-02 6.3190340995788574e-01
0 1.4177900000000000e+05 3.0300000000000000e+02 1.4553420543670654e+00 1.1893512010574341e+00 7.5462192296981812e-02 9.1630196571350098e-01 1.5724107027053833e+00 1.0690969085693359e+02 1.0459368705749512e+01 1.0566533660888672e+02 6.5610867738723755e-01 9.3294417858123779e-01 3.9292854309082031e+01 7.9094872474670410e+00 2.9380854219198227e-02 5.2130055427551270e-01
0 1.4178000000000000e+05 3.0400000000000000e+02 1.4645292758941650e+00 1.2075489759445190e+00 7.4163287878036499e-02 5.5167371034622192e-01 2.0560419559478760e+00 7.8452995300292969e+01 9.0033721923828125e+00 7.7149139404296875e+01 1.5043683052062988e+00 9.0607714653015137e-01 3.5237556457519531e+01 7.2610321044921875e+00 4.6216409653425217e-02 6.8812614679336548e-01
1 1.4178100000000000e+05 3.0400000000000000e+02 2.3253333568572998e+00 1.2933945655822754e+00 1.9244319200515747e-01 4.7127872705459595e-01 2.9585275650024414e+00 6.9657127380371094e+01 8.5490894317626953e+00 6.7942222595214844e+01 2.4872488975524902e+00 8.6504030227661133e-01 3.1071565628051758e+01 1.0043198585510254e+01 5.3982406854629517e-02 6.5867388248443604e-01
1 1.4178200000000000e+05 3.0400000000000000e+02 3.1038134098052979e+00 1.5033724308013916e+00 3.0575811862945557e-01 1.2745000123977661e+00 9.3705883026123047e+00 2.2039209365844727e+01 5.7170181274414062e+00 1.6716665267944336e+01 8.0960884094238281e+00 3.0760851502418518e-01 2.0542510986328125e+01 1.3436217308044434e+01 1.8051077425479889e-01 4.0010926127433777e-01
1 1.4178300000000000e+05 3.0400000000000000e+02 2.0221421718597412e+00 1.2047301530838013e+00 1.4762575924396515e-01 7.4894112348556519e-01 7.1211323738098145e+00 7.4516029357910156e+01 9.0766792297363281e+00 7.0580993652343750e+01 6.3721914291381836e+00 7.3843866586685181e-01 3.6315673828125000e+01 1.2659637451171875e+01 4.5105647295713425e-02 3.2561674714088440e-01
1 1.4178400000000000e+05 3.0400000000000000e+02 1.9182351827621460e+00 1.3193142414093018e+00 1.5083563327789307e-01 1.1551471948623657e+00 2.9507367610931396e+00 2.8359382629394531e+01 5.6978297233581543e+00 2.6306440353393555e+01 1.7955894470214844e+00 6.5887206792831421e-01 2.2997379302978516e+01 7.7157258987426758e+00 1.8234060704708099e-01 6.6023373603820801e-01
0 1.4178500000000000e+05 3.0400000000000000e+02 1.3624489307403564e+00 1.1359546184539795e+00 4.8477094620466232e-02 1.4994373321533203e+00 2.0509171485900879e+00 1.1182154846191406e+02 1.0741131782531738e+01 1.1004637145996094e+02 5.5147993564605713e-01 9.0982848405838013e-01 3.8259494781494141e+01 7.9639973640441895e+00 2.7218347415328026e-02 3.5004910826683044e-01
0 1.4178600000000000e+05 3.0400000000000000e+02 1.3133811950683594e+00 1.1326506137847900e+00 4.1903235018253326e-02 1.7508101463317871e+00 1.0247117996215820e+01 8.4008499145507812e+01 9.7982873916625977e+00 7.8009536743164062e+01 8.4963083267211914e+00 6.6610306501388550e-01 3.0973613739013672e+01 1.6242082595825195e+01 3.5855963826179504e-02 1.6720449924468994e-01
0 1.4178700000000000e+05 3.0400000000000000e+02 1.4688588380813599e+00 1.1788029670715332e+00 6.7538641393184662e-02 5.1232852935791016e+00 1.6761070251464844e+01 2.6455400466918945e+01 6.9526796340942383e+00 1.5513222694396973e+01 1.1637785911560059e+01 1.4646035432815552e-01 2.0079250335693359e+01 1.7572996139526367e+01 1.0035873204469681e-01 1.3619075715541840e-01
0 1.4178800000000000e+05 3.0500000000000000e+02 2.0319008827209473e+00 1.2300459146499634e+00 1.5880763530731201e-01 1.5036848783493042e+00 2.0159496307373047e+01 3.8429676055908203e+01 7.7519583702087402e+00 2.7598085403442383e+01 1.8655811309814453e+01 2.8320157527923584e-01 2.7146512985229492e+01 1.9903047561645508e+01 7.2644680738449097e-02 1.9081152975559235e-01
1 1.4178900000000000e+05 3.0500000000000000e+02 2.7537314891815186e+00 1.4658995866775513e+00 2.5625392794609070e-01 1.0990180969238281e+00 2.9023842811584473e+00 3.4822719573974609e+01 6.2309007644653320e+00 3.2822017669677734e+01 1.8033663034439087e+00 7.1632391214370728e-01 2.4014030456542969e+01 7.3615355491638184e+00 1.3988967239856720e-01 6.1793816089630127e-01
0 1.4179000000000000e+05 3.0500000000000000e+02 1.9910300970077515e+00 1.2319654226303101e+00 1.7817339301109314e-01 1.2116895914077759e+00 7.1921601295471191e+00 6.1779197692871094e+01 8.3775320053100586e+00 5.7577274322509766e+01 5.9804706573486328e+00 6.7848104238510132e-01 3.2115627288818359e+01 1.0365665435791016e+01 5.7555887848138809e-02 2.8067886829376221e-01
0 1.4179100000000000e+05 3.0500000000000000e+02 1.4154045581817627e+00 1.1659899950027466e+00 6.4858019351959229e-02 3.6893436312675476e-01 5.5698914527893066e+00 6.6065879821777344e+01 8.4855585098266602e+00 6.3096469879150391e+01 5.2009568214416504e+00 7.7178406715393066e-01 3.1501182556152344e+01 1.2666692733764648e+01 5.5385585874319077e-02 5.5894577503204346e-01
1 1.4179200000000000e+05 3.0500000000000000e+02 1.6142709255218506e+00 1.2616307735443115e+00 1.0180986672639847e-01 5.4610389471054077e-01 2.1331527233123779e+00 6.3618598937988281e+01 8.1423492431640625e+00 6.2278968811035156e+01 1.5870487689971924e+00 8.8286715745925903e-01 2.8630565643310547e+01 7.3953032493591309e+00 6.2688648700714111e-02 7.5651156902313232e-01
0 1.4179300000000000e+05 3.0500000000000000e+02 1.6402211189270020e+00 1.1600222587585449e+00 1.0295472294092178e-01 5.4815667867660522e-01 1.5294878482818604e+00 2.4858515930175781e+02 1.5832334518432617e+01 2.4754634094238281e+02 9.8133122920989990e-01 9.7530025243759155e-01 6.5339591979980469e+01 6.2792758941650391e+00 8.5271373391151428e-03 4.5112121105194092e-01
0 1.4179400000000000e+05 3.0500000000000000e+02 1.2200852632522583e+00 1.1099630594253540e+00 2.6930823922157288e-02 3.8021835684776306e-01 1.5785737037658691e+01 7.2793357849121094e+01 9.4318246841430664e+00 6.4710380554199219e+01 1.5405519485473633e+01 5.5162537097930908e-01 3.1577812194824219e+01 1.6700267791748047e+01 4.0332112461328506e-02 3.1157410144805908e-01
1 1.4179500000000000e+05 3.0500000000000000e+02 2.9850215911865234e+00 1.4918792247772217e+00 2.9025596380233765e-01 1.7995150089263916e+00 3.7910516262054443e+00 2.9444509506225586e+01 5.9190435409545898e+00 2.6649227142333984e+01 1.9915366172790527e+00 5.8100301027297974e-01 2.4364589691162109e+01 9.5004272460937500e+00 1.6318622231483459e-01 4.5951157808303833e-01
0 1.4179600000000000e+05 3.0500000000000000e+02 1.5484052896499634e+00 1.2000160217285156e+00 9.1089099645614624e-02 1.2649040222167969e+00 2.3780832290649414e+00 9.1025177001953125e+01 9.7297563552856445e+00 8.9203681945800781e+01 1.1131792068481445e+00 8.8799065351486206e-01 3.7713142395019531e+01 7.1351046562194824e+00 3.6739408969879150e-02 3.9358010888099670e-01
1 1.4179700000000000e+05 3.0500000000000000e+02 2.4206459522247314e+00 1.4996099472045898e+00 1.9252288341522217e-01 3.4371159076690674e+00 4.6142473220825195e+00 1.6400493621826172e+01 4.9448819160461426e+00 1.2374812126159668e+01 1.1771312952041626e+00 2.5786408782005310e-01 1.8433673858642578e+01 1.0180519104003906e+01 2.7987900376319885e-01 4.0381294488906860e-01
0 1.4179800000000000e+05 3.0500000000000000e+02 1.3112813234329224e+00 1.1265842914581299e+00 4.0648542344570160e-02 2.4127905368804932e+00 6.9053735733032227e+00 7.1519523620605469e+01 8.9909782409667969e+00 6.6860443115234375e+01 4.4925832748413086e+00 6.8640249967575073e-01 3.0300514221191406e+01 1.2280625343322754e+01 4.6560462564229965e-02 1.8866464495658875e-01
0 1.4179900000000000e+05 3.0500000000000000e+02 1.2263534069061279e+00 1.1328949928283691e+00 3.1482383608818054e-02 8.7301588058471680e-01 3.3060504913330078e+01 4.7594108581542969e+01 9.0292654037475586e+00 3.0627349853515625e+01 3.2187488555908203e+01 2.5802972912788391e-01 2.2429145812988281e+01 2.0545597076416016e+01 4.5970674604177475e-02 1.7571701109409332e-01
1 1.4180000000000000e+05 3.0500000000000000e+02 2.8085587024688721e+00 1.3398879766464233e+00 2.5485643744468689e-01 4.4126691818237305e+00 5.7204375267028809e+00 3.9091445922851562e+01 7.0160212516784668e+00 3.4024894714355469e+01 1.3077685832977295e+00 4.7831156849861145e-01 2.7698926925659180e+01 1.1349749565124512e+01 9.7986318171024323e-02 2.0732422173023224e-01
1 1.4180100000000000e+05 3.0500000000000000e+02 1.3489474058151245e+00 1.1750615835189819e+00 5.0589669495820999e-02 1.1438828706741333e+00 7.0700607299804688e+00 4.3942508697509766e+01 7.2219424247741699e+00 3.9835536956787109e+01 5.9261779785156250e+00 5.9302735328674316e-01 2.3755327224731445e+01 1.3869020462036133e+01 8.9841298758983612e-02 3.4547090530395508e-01
1 1.4180200000000000e+05 3.0500000000000000e+02 1.2488689422607422e+00 1.0495951175689697e+00 5.5610410869121552e-02 1.2629543542861938e+00 1.4712120056152344e+01 3.7218109130859375e+01 7.2933659553527832e+00 2.9230573654174805e+01 1.3449165344238281e+01 3.4991383552551270e-01 2.7578414916992188e+01 1.7461471557617188e+01 8.7227642536163330e-02 2.4765528738498688e-01
0 1.4180300000000000e+05 3.0600000000000000e+02 1.2904442548751831e+00 1.1294194459915161e+00 4.0490731596946716e-02 3.3973317146301270e+00 2.1366811752319336e+01 4.5431114196777344e+01 8.3782606124877930e+00 3.3049041748046875e+01 1.7969478607177734e+01 2.7081683278083801e-01 2.1884344100952148e+01 1.7981107711791992e+01 5.7729534804821014e-02 1.1377904564142227e-01
0 1.4180400000000000e+05 3.0600000000000000e+02 1.3975511789321899e+00 1.1494096517562866e+00 5.4604563862085342e-02 4.5264443755149841e-01 1.3584175109863281e+00 1.4965101623535156e+02 1.2306992530822754e+01 1.4874548339843750e+02 9.0577310323715210e-01 9.6447694301605225e-01 4.3131145477294922e+01 6.7973713874816895e+00 1.8213937059044838e-02 6.8114995956420898e-01
0 1.4180500000000000e+05 3.0600000000000000e+02 1.2186993360519409e+00 1.0961233377456665e+00 2.4755090475082397e-02 7.5754580497741699e+00 2.1781988143920898e+01 4.3676197052001953e+01 8.5459718704223633e+00 2.8997472763061523e+01 1.4206529617309570e+01 1.8602152168750763e-01 2.3576568603515625e+01 1.7698394775390625e+01 5.4397039115428925e-02 7.6966583728790283e-02
1 1.4180600000000000e+05 3.0600000000000000e+02 1.8992854356765747e+00 1.3373919725418091e+00 1.4977645874023438e-01 8.3126282691955566e-01 9.3551912307739258e+00 1.9307886123657227e+01 5.4308691024780273e+00 1.4214658737182617e+01 8.5239286422729492e+00 2.9491296410560608e-01 2.4016735076904297e+01 1.3664429664611816e+01 2.1195891499519348e-01 5.3323042392730713e-01
0 1.4180700000000000e+05 3.0600000000000000e+02 1.6230161190032959e+00 1.2186093330383301e+00 1.2585520744323730e-01 4.7924214601516724e-01 1.9204758405685425e+00 9.0671577453613281e+01 9.6473464965820312e+00 8.9471717834472656e+01 1.4412336349487305e+00 9.2432469129562378e-01 3.8309978485107422e+01 7.6541228294372559e+00 3.7812557071447372e-02 7.1525400876998901e-01
1 1.4180800000000000e+05 3.0600000000000000e+02 1.4701573848724365e+00 1.1364918947219849e+00 7.7757582068443298e-02 1.1805187463760376e+00 6.5112380981445312e+00 5.7981319427490234e+01 8.1038923263549805e+00 5.4135440826416016e+01 5.3307194709777832e+00 6.8444019556045532e-01 3.2036109924316406e+01 1.2871936798095703e+01 6.3793830573558807e-02 3.0950346589088440e-01
1 1.4180900000000000e+05 3.0600000000000000e+02 1.2977966070175171e+00 1.1349370479583740e+00 4.0527805685997009e-02 1.9476095438003540e+00 1.1429999351501465e+01 3.1011184692382812e+01 6.6624913215637207e+00 2.4322380065917969e+01 9.4823894500732422e+00 3.3446338772773743e-01 2.4550931930541992e+01 1.1561878204345703e+01 1.1480206251144409e-01 2.4868212640285492e-01
0 1.4181000000000000e+05 3.0600000000000000e+02 1.3506170511245728e+00 1.1320152282714844e+00 5.5523574352264404e-02 4.0727038383483887e+00 1.2191403388977051e+01 5.8797718048095703e+01 8.6638231277465820e+00 5.0665664672851562e+01 8.1186990737915039e+00 4.6437975764274597e-01 2.7429504394531250e+01 1.5260761260986328e+01 5.2207272499799728e-02 1.2092868238687515e-01
0 1.4181100000000000e+05 3.0600000000000000e+02 1.2587838172912598e+00 1.1252810955047607e+00 3.6365773528814316e-02 1.4458318948745728e+00 3.2604222297668457e+00 1.4295027160644531e+02 1.2151399612426758e+01 1.4059713745117188e+02 1.8145903348922729e+00 9.0678006410598755e-01 4.7977470397949219e+01 9.2254447937011719e+00 1.8922597169876099e-02 2.5170364975929260e-01
1 1.4181200000000000e+05 3.0700000000000000e+02 1.3867110013961792e+00 1.1808686256408691e+00 6.0504194349050522e-02 2.1166224479675293e+00 8.6415042877197266e+00 4.4238826751708984e+01 7.4159932136535645e+00 3.8859764099121094e+01 6.5248818397521973e+00 5.0981241464614868e-01 2.2945756912231445e+01 1.2094266891479492e+01 8.3515807986259460e-02 2.3044992983341217e-01
0 1.4181300000000000e+05 3.0700000000000000e+02 1.8249843120574951e+00 1.2364977598190308e+00 1.1474675685167313e-01 6.8495994806289673e-01 4.9278922080993652e+00 6.3845413208007812e+01 8.3341627120971680e+00 6.1038986206054688e+01 4.2429323196411133e+00 7.7506434917449951e-01 3.0404619216918945e+01 1.0258926391601562e+01 5.8842450380325317e-02 4.4654652476310730e-01
1 1.4181400000000000e+05 3.0700000000000000e+02 1.5563875436782837e+00 1.2339719533920288e+00 1.1191840469837189e-01 7.5843155384063721e-01 4.6581420898437500e+00 4.6413303375244141e+01 7.1992969512939453e+00 4.3705017089843750e+01 3.8997106552124023e+00 7.1529924869537354e-01 2.4752523422241211e+01 9.7575035095214844e+00 9.1286465525627136e-02 5.1192808151245117e-01
0 1.4181500000000000e+05 3.0700000000000000e+02 1.2127885818481445e+00 1.1052850484848022e+00 3.4656867384910583e-02 4.6616106033325195e+00 1.5191417694091797e+01 1.1153022003173828e+02 1.1462253570556641e+01 1.0160370635986328e+02 1.0529807090759277e+01 6.0286974906921387e-01 3.8837993621826172e+01 1.7624807357788086e+01 2.2618647664785385e-02 7.3761768639087677e-02
